Documentary,Western,(no genres listed),Crime,Animation,Children,IMAX,Comedy,Thriller,Mystery,Film-Noir,Drama,Action,Fantasy,Musical,War,Horror,Sci-Fi,Romance,Adventure
My Scientology Movie (2016),"Legend of Zorro, The (2005)",,Inside Man (2006),Alice in Wonderland (1951),Christmas with the Kranks (2004),"Day the Earth Stood Still, The (2008)",What the #$*! Do We Know!? (a.k.a. What the Bleep Do We Know!?) (2004),Limitless (2011),Super Troopers (2001),Pickup on South Street (1953),Atlantic City (1980),Hangar 18 (1980),Bogus (1996),"Runaways, The (2010)",Red Dawn (2012),Devil (2010),"War of the Worlds, The (1953)",Memoirs of a Geisha (2005),Dragon Ball Z: Broly - The Legendary Super Saiyan (Doragon bôru Z 8: Moetsukiro!! Nessen retsusen-chô gekisen) (1993)
"Yes Men, The (2003)",Oklahoma! (1955),,"I, the Jury (1982)",Dragon Ball Z: Super Android 13! (Doragon bôru Z 7: Kyokugen batoru!! San dai sûpâ saiyajin) (1992),"Wizard of Oz, The (1939)",Riddick (2013),12 Chairs (1971),Cold in July (2014),The Adventures of Sherlock Holmes and Dr. Watson: The Hound of the Baskervilles (1981),White Heat (1949),After the Wedding (Efter brylluppet) (2006),Into the Grizzly Maze (2015),Allegro non troppo (1977),Not on the Lips (Pas sur la bouche) (2003),"Flowers of War, The (Jin líng shí san chai) (2011)",28 Days Later (2002),Waterworld (1995),Prime Suspect 2 (1992),Black Beauty (1994)
Tokyo Idols (2017),Cowboys & Aliens (2011),,"Naked Gun: From the Files of Police Squad!, The (1988)",Brother Bear (2003),"Addams Family, The (1991)",V for Vendetta (2006),Benny & Joon (1993),Die Hard 2 (1990),I Know What You Did Last Summer (1997),"Third Man, The (1949)","Children Are Watching Us, The (Bambini ci guardano, I) (1944)","Batman/Superman Movie, The (1998)",Nightbreed (1990),Pinocchio (1940),"Thin Red Line, The (1998)",Underworld: Blood Wars (2016),Embassy (2013),Dinner at Eight (1933),"Rescuers, The (1977)"
"League of Ordinary Gentlemen, A (2004)","Topo, El (1970)",,"Stendhal Syndrome, The (Sindrome di Stendhal, La) (1996)",The Emoji Movie (2017),Are We There Yet? (2005),TiMER (2009),"Thin Man, The (1934)",Cold Creek Manor (2003),Orphan (2009),Undercurrent (1946),Airport (1970),Assembly (Ji jie hao) (2007) ,Untitled Spider-Man Reboot (2017),Topsy-Turvy (1999),Starship Troopers 2: Hero of the Federation (2004),"Sixth Sense, The (1999)","Lost World: Jurassic Park, The (1997)",Drift (2013),Bolt (2008)
Comedian (2002),Seven Brides for Seven Brothers (1954),,Harlem Nights (1989),Ponyo (Gake no ue no Ponyo) (2008),Sing (2016),Rise of the Guardians (2012),Warm Bodies (2013),No Way Out (1987),Cloak & Dagger (1984),"Sorry, Wrong Number (1948)",Inglourious Basterds (2009),Collateral Damage (2002),RoboCop (2014),San Francisco (1936),"Human Condition II, The (Ningen no joken II) (1959)",Nightbreed (1990),Escape from New York (1981),Fellini's Casanova (Il Casanova di Federico Fellini) (1976),Jimmy Neutron: Boy Genius (2001)
"Atomic Cafe, The (1982)",Two Mules for Sister Sara (1970),,World on a Wire (Welt am Draht) (1973),Persepolis (2007),Shaun the Sheep Movie (2015),Jack Ryan: Shadow Recruit (2014),My First Mister (2001),Prime Suspect 2 (1992),Mr. Holmes (2015),This Gun for Hire (1942),My First Mister (2001),Independence Day (a.k.a. ID4) (1996),Mortal Kombat (1995),Willy Wonka & the Chocolate Factory (1971),South Pacific (1958),"Wicker Man, The (2006)",Babylon 5,Strictly Ballroom (1992),"Princess and the Pirate, The (1944)"
The Forgotten Space (2010),Rio Grande (1950),,Tower Heist (2011),Lady and the Tramp (1955),Muppet Treasure Island (1996),"Dark Knight, The (2008)",UHF (1989),"A-Team, The (2010)",Killing Me Softly (2002),2 Days in the Valley (1996),M. Butterfly (1993),Fool's Gold (2008),Snow White and the Seven Dwarfs (1937),Quadrophenia (1979),"Messenger: The Story of Joan of Arc, The (1999)",Freddy vs. Jason (2003),The 5th Wave (2016),Ninotchka (1939),101 Dalmatians (One Hundred and One Dalmatians) (1961)
Spiral (2018),"Ox-Bow Incident, The (1943)",,Hands Off the Loot (Touchez pas au grisbi) (1954),Planet 51 (2009),Charlotte's Web (1973),Contagion (2011),Rushmore (1998),Lone Survivor (2013),Murder at 1600 (1997),Detour (1945),Dolores Claiborne (1995),R.I.P.D. (2013),"Brass Teapot, The (2012)",Another Cinderella Story (2008),Alexander Nevsky (Aleksandr Nevskiy) (1938),Burnt Offerings (1976),Megamind (2010),White Christmas (1954),Armour of God (Long xiong hu di) (1987)
"Imposter, The (2012)",All the Pretty Horses (2000),,"Godfather: Part III, The (1990)",Dragon ball Z 04: Lord Slug (1991),It's a Very Merry Muppet Christmas Movie (2002),Pirates of the Caribbean: On Stranger Tides (2011),Evan Almighty (2007),"Invasion, The (2007)",Blue Velvet (1986),"Pure Formality, A (Pura formalità, Una) (1994)",Exodus (1960),"Equalizer, The (2014)",Monday (2000),"Company, The (2003)","Special Day, A (Giornata particolare, Una) (1977)",Prom Night (1980),Making Mr. Right (1987),King Kong (1976),Commando (1985)
Waltz with Bashir (Vals im Bashir) (2008),Wagons East (1994),,Burglar (1987),Geri's Game (1997),First Kid (1996),Ghosts of the Abyss (2003),"I Love You, Man (2009)","Good Shepherd, The (2006)","Fallen Idol, The (1948)",Renaissance (2006),Mesrine: Killer Instinct (L'instinct de mort) (2008),3 Ninjas Knuckle Up (1995),Lemony Snicket's A Series of Unfortunate Events (2004),Animal Crackers (1930),Mister Roberts (1955),Beowulf (1999),Powder (1995),"Green Butchers, The (Grønne slagtere, De) (2003)",Captains Courageous (1937)
Adventures in Plymptoons! (2011),City Slickers (1991),,"Crimson Rivers 2: Angels of the Apocalypse (Rivières pourpres II - Les anges de l'apocalypse, Les) (2004)",WALL·E (2008),"Yours, Mine and Ours (1968)",Star Wars: Episode VII - The Force Awakens (2015),Pixels (2015),"Parallax View, The (1974)",Angels & Demons (2009),House of Games (1987),Nightcrawler (2014),Star Trek: Insurrection (1998),Mood Indigo (L'écume des jours) (2013),Aladdin (1992),"Atomic Cafe, The (1982)",Paranormal Activity (2009),Iron Sky (2012),Pride & Prejudice (2005),"Beastmaster, The (1982)"
UnHung Hero (2013),Young Guns II (1990),,The Brain (1969),Gena the Crocodile (1969),Dragon Ball: Sleeping Princess in Devil's Castle (Doragon bôru: Majinjô no nemuri hime) (1987),Edge of Tomorrow (2014),What Men Talk About (2010),Hangar 18 (1980),"Talented Mr. Ripley, The (1999)",Rififi (Du rififi chez les hommes) (1955),Rushmore (1998),Bloodsport: The Dark Kumite (1999),Green Lantern: First Flight (2009),Walk Hard: The Dewey Cox Story (2007),Run Silent Run Deep (1958),Friday the 13th Part 3: 3D (1982),Robot Jox (1990),"Double Life of Veronique, The (Double Vie de Véronique, La) (1991)",Apollo 13 (1995)
Unzipped (1995),Shane (1953),,Elektra (2005),Steins,Alice in Wonderland (1951),Sucker Punch (2011),"Full Monty, The (1997)",Mississippi Burning (1988),Suicide Kings (1997),Call Northside 777 (1948),Fifty Shades Darker (2017),"Emerald Forest, The (1985)",Red Sonja (1985),Be Cool (2005),"Carabineers, The (Carabiniers, Les) (1963)","Freddy's Dead: The Final Nightmare (Nightmare on Elm Street Part 6: Freddy's Dead, A) (1991)","10th Victim, The (La decima vittima) (1965)",What Dreams May Come (1998),Elektra (2005)
"Fast, Cheap & Out of Control (1997)","Warrior's Way, The (2010)",,Jason's Lyric (1994),"Secret of NIMH, The (1982)",Brother Bear (2003),"Avengers, The (2012)",Outsourced (2006),Into the Grizzly Maze (2015),"Thin Man Goes Home, The (1945)",Mildred Pierce (1945),Malèna (2000),Hard-Boiled (Lat sau san taam) (1992),The Scorpion King (2002),Victor/Victoria (1982),Waltz with Bashir (Vals im Bashir) (2008),Sinister (2012),Final Flight of the Osiris (2003),Déjà Vu (1997),"NeverEnding Story, The (1984)"
"Story of Film: An Odyssey, The (2011)",Blueberry (2004),,"Lincoln Lawyer, The (2011)",Justice League: Doom (2012) ,Dreamer: Inspired by a True Story (2005),"Good Day to Die Hard, A (2013)",White Men Can't Jump (1992),King Kong (1976),From Hell (2001),Gilda (1946),Land and Freedom (Tierra y libertad) (1995),Orca: The Killer Whale (1977),G-Force (2009),Satin Rouge (2002),Flesh & Blood (1985),"Ring Two, The (2005)",28 Days Later (2002),Jersey Girl (2004),Black Knight (2001)
"Unreasonable Man, An (2006)","Quick and the Dead, The (1995)",,Hamlet (2000),"Black Cauldron, The (1985)",The Emoji Movie (2017),"Spiderwick Chronicles, The (2008)","Thief of Paris, The (Le voleur) (1967)",Rose Red (2002),All Good Things (2010),Strangers on a Train (1951),Lean on Me (1989),Dragon Ball Z: Broly - The Legendary Super Saiyan (Doragon bôru Z 8: Moetsukiro!! Nessen retsusen-chô gekisen) (1993),Touch (1997),Hannah Montana: The Movie (2009),Midway (1976),Club Dread (2004),Batman v Superman: Dawn of Justice (2016),This Is My Father (1998),Waterworld (1995)
"Inconvenient Truth, An (2006)",City Slickers II: The Legend of Curly's Gold (1994),,Dampfnudelblues (2013),Ooops! Noah is Gone... (2015),Ponyo (Gake no ue no Ponyo) (2008),"Matrix Reloaded, The (2003)",My Boss's Daughter (2003),Secret Window (2004),Book of Shadows: Blair Witch 2 (2000),Suddenly (1954),Honey (2003),Futurama: The Beast with a Billion Backs (2008),"Wizard of Oz, The (1939)",Sympathy for the Devil (1968),Three Kings (1999),Psycho (1998),Sound of My Voice (2011),Because I Said So (2007),Crocodile Dundee II (1988)
Gigantic (A Tale of Two Johns) (2002),"Missing, The (2003)",,Bushwhacked (1995),Idiots and Angels (2008),Lady and the Tramp (1955),"Hobbit: The Desolation of Smaug, The (2013)",Say Anything... (1989),"Deaths of Ian Stone, The (2007)",Suspicion (1941),Sweet Smell of Success (1957),Days of Being Wild (A Fei jingjyuhn) (1990),Dredd (2012),Northfork (2003),Sweet Charity (1969),Legends of the Fall (1994),"Visit, The (2015)",Summer Wars (Samâ wôzu) (2009),Kama Sutra: A Tale of Love (1996),"Lost World: Jurassic Park, The (1997)"
Fuck (2005),The Dark Tower (2017),,Normal Life (1996),The Book of Life (2014),Planet 51 (2009),"Matrix Revolutions, The (2003)","Legend, The (Legend of Fong Sai-Yuk, The) (Fong Sai Yuk) (1993)","International, The (2009)",Scooby-Doo! Abracadabra-Doo (2010),Bitter Moon (1992),Fanny and Alexander (Fanny och Alexander) (1982),Bolt (2008),"Addams Family, The (1991)",Sweeney Todd: The Demon Barber of Fleet Street (2007),Behind Enemy Lines (2001),Amityville 1992: It's About Time (1992),RoboCop (2014),Fool's Gold (2008),Hanna (2011)
Paris Is Burning (1990),Lonesome Dove (1989),,Circus (2000),The Secret Life of Pets (2016),Dragon ball Z 04: Lord Slug (1991),Transformers (2007),Ashby (2015),Chopper (2000),Marnie (1964),"Wrong Man, The (1956)","Full Monty, The (1997)",Underworld: Awakening (2012),"Nine Lives of Tomas Katz, The (2000)",Eddie and the Cruisers (1983),"New One-Armed Swordsman, The (Xin du bi dao) (1971)",Cube Zero (2004),Captain America: Civil War (2016),Boccaccio '70 (1962),Escape from New York (1981)
Paradise Lost 2: Revelations (2000),"Good, the Bad, the Weird, The (Joheunnom nabbeunnom isanghannom) (2008)",,Side Effects (2013),Millennium Actress (Sennen joyû) (2001),Geri's Game (1997),Monsters vs. Aliens (2009),Sleepless in Seattle (1993),Collateral Damage (2002),"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",Foreign Correspondent (1940),White Men Can't Jump (1992),"Naked Gun: From the Files of Police Squad!, The (1988)",Scoop (2006),"Music Man, The (1962)",Rob Roy (1995),Ex Drummer (2007),Gravity (2013),"New York, New York (1977)",Epic (2013)
Genghis Blues (1999),"Shootist, The (1976)",,Colors (1988),Scooby-Doo! Abracadabra-Doo (2010),WALL·E (2008),Open Season (2006),Daddy Day Camp (2007),Independence Day (a.k.a. ID4) (1996),Tomorrowland (2015),High Sierra (1941),I Stand Alone (Seul contre tous) (1998),Armour of God (Long xiong hu di) (1987),"Medallion, The (2003)","Prince of Egypt, The (1998)","Field in England, A (2013)","Masque of the Red Death, The (1964)",Bulletproof Monk (2003),There's Something About Mary (1998),The 5th Wave (2016)
Taxi to the Dark Side (2007),The Beast of Hollow Mountain (1956),,Lucky Break (2001),Meet the Robinsons (2007),Cloak & Dagger (1984),The Hunger Games: Catching Fire (2013),Bad Santa 2 (2016),"Haunting, The (1999)",Psycho II (1983),Patlabor: The Movie (Kidô keisatsu patorebâ: The Movie) (1989),Eye for an Eye (1996),Tower Heist (2011),Hogfather (Terry Pratchett's Hogfather) (2006),"Inspector General, The (1949)",Seven Years in Tibet (1997),Night of the Living Dead (1990),Beowulf (1999),Adam's Rib (1949),Bushwhacked (1995)
T-Rex: Back to the Cretaceous (1998),"Man from Snowy River, The (1982)",,RoboCop (2014),The Bremen Town Musicians (1969),Gena the Crocodile (1969),Night at the Museum (2006),Boniface's Holiday (1965),"Equalizer, The (2014)",Cube (1997),"Asphalt Jungle, The (1950)","Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",I Am Legend (2007),King Kong (2005),"Pirate Movie, The (1982)","Brothers Grimm, The (2005)",Sharknado 3: Oh Hell No! (2015),"Prestige, The (2006)",Magic Mike (2012),Conan the Barbarian (1982)
This Film Is Not Yet Rated (2006),Ride the High Country (1962),,Fried Green Tomatoes (1991),Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001),Casper (1995),Drive (2011),Back to the Future Part III (1990),Suspect Zero (2004),Happy Birthday to Me (1981),Dark City (1998),"Thief of Paris, The (Le voleur) (1967)",Superman II (1980),Wristcutters: A Love Story (2006),James and the Giant Peach (1996),The Wooden Horse (1950),Dark Water (2005),Class Action (1991),Confessions of a Dangerous Mind (2002),"Wild, The (2006)"
Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),Hombre (1967),,Monday (2000),Batman Beyond: Return of the Joker (2000),Space Buddies (2009),"I, Frankenstein (2014)",Ghost Dad (1990),Confessions of a Dangerous Mind (2002),Cloverfield (2008),Angels with Dirty Faces (1938),Say Anything... (1989),Fury (2014),"7th Voyage of Sinbad, The (1958)",Ferngully: The Last Rainforest (1992),Inescapable (2012),My Bloody Valentine 3-D (2009),Another Earth (2011),Star Trek: Insurrection (1998),"Descent, The (2005)"
Richard Pryor Live on the Sunset Strip (1982),Dust (2001),,Very Bad Things (1998),Waltz with Bashir (Vals im Bashir) (2008),"Secret of NIMH, The (1982)",Cloudy with a Chance of Meatballs (2009),Naked Gun 33 1/3: The Final Insult (1994),Palmetto (1998),Jacob's Ladder (1990),"Night of the Hunter, The (1955)",Ice Castles (1978),Why Don't You Play In Hell? (Jigoku de naze warui) (2013),Mr. Nobody (2009),Chitty Chitty Bang Bang (1968),Before the Fall (NaPolA - Elite für den Führer) (2004),Splice (2009),Conquest of the Planet of the Apes (1972),Take This Waltz (2011),Hercules (1997)
Watermark (2014),Spirit: Stallion of the Cimarron (2002),,"Boondock Saints, The (2000)",Zoom (2015),"Black Cauldron, The (1985)","Fast & Furious 6 (Fast and the Furious 6, The) (2013)",What Have I Done to Deserve This? (¿Qué he hecho yo para merecer esto!!) (1984),Bloodsport: The Dark Kumite (1999),Sherlock Holmes and the Secret Weapon (1942),"Limits of Control, The (2009)","Ascent, The (Voskhozhdeniye) (1977)",Commando (1985),Your Highness (2011),Janie Jones (2010),Charlie Wilson's War (2007),Killer Movie (2008),Green Lantern: First Flight (2009),Palmetto (1998),"Straight Story, The (1999)"
Jiro Dreams of Sushi (2011),"Man Who Shot Liberty Valance, The (1962)",,T2: Trainspotting (2017),Asterix and Cleopatra (Astérix et Cléopâtre) (1968),Diary of a Wimpy Kid (2010),Transformers: Dark of the Moon (2011),To Be or Not to Be (1942),Hard-Boiled (Lat sau san taam) (1992),Copycat (1995),Killer's Kiss (1955),Dear John (2010),"Crimson Rivers 2: Angels of the Apocalypse (Rivières pourpres II - Les anges de l'apocalypse, Les) (2004)",Journey to the West: Conquering the Demons (Daai wa sai you chi Chui mo chun kei) (2013),Get on Up (2014),Ararat (2002),Creep 2 (2017),"Scanner Darkly, A (2006)",Romeo and Juliet (1968),Batman v Superman: Dawn of Justice (2016)
Jackass 3D (2010),Australia (2008),,Johnny Eager (1942),Shrek Forever After (a.k.a. Shrek: The Final Chapter) (2010),Solo: A Star Wars Story (2018),Divergent (2014),When Harry Met Sally... (1989),Money Monster (2016),"Thomas Crown Affair, The (1999)",One False Move (1992),Ashby (2015),Gods and Generals (2003),Alice in Wonderland (1951),Calamity Jane (1953),"General, The (1926)",Halloween II (1981),Teknolust (2002),Zelary (2003),Untitled Spider-Man Reboot (2017)
"Yes Men Fix the World, The (2009)","Apple Dumpling Gang Rides Again, The (1979)",,Harry Brown (2009),Mezzo Forte (1998),Son of Rambow (2007),Resident Evil: Afterlife (2010),Romy and Michele's High School Reunion (1997),Orca: The Killer Whale (1977),Rear Window (1954),Out of the Past (1947),"Devil's Own, The (1997)",Rollerball (2002),Ponyo (Gake no ue no Ponyo) (2008),Pearl Jam Twenty (2011),"Messenger, The (2009)",Children of the Corn IV: The Gathering (1996),Cube Zero (2004),My Son the Fanatic (1997),Batman (1966)
Marley (2012),They Call Me Trinity (1971),,Burn After Reading (2008),Digimon: The Movie (2000),"Adventures of Huck Finn, The (1993)",Superman Returns (2006),"Tall Guy, The (1989)",30 Days of Night (2007),Saboteur (1942),13 Tzameti (2005),"Tuskegee Airmen, The (1995)","Beastmaster, The (1982)","Witches of Eastwick, The (1987)",Beauty and the Beast: The Enchanted Christmas (1997),Hart's War (2002),Hatchet III (2013),Idaho Transfer (1973),Futurama: The Beast with a Billion Backs (2008),Summer Wars (Samâ wôzu) (2009)
When the Levees Broke: A Requiem in Four Acts (2006),Young Guns (1988),,Shadow of a Doubt (1943),Kung Fu Panda (2008),Scooby-Doo! Abracadabra-Doo (2010),Madagascar 3: Europe's Most Wanted (2012),Almost an Angel (1990),"Moustache, La (2005)",Heartless (2009),While the City Sleeps (1956),Down to the Bone (2004),Elektra (2005),Edward Scissorhands (1990),"Adventures of Mary-Kate and Ashley, The: The Case of the Christmas Caper (1995)","Children of Huang Shi, The (2008)","Texas Chainsaw Massacre, The (1974)",Mystery Science Theater 3000: The Movie (1996),The Last Five Years (2014),For Your Eyes Only (1981)
"Bill Cosby, Himself (1983)",Sweetgrass (2009),,Psycho (1998),Planes (2013),Meet the Robinsons (2007),Frankenweenie (2012),"House of Yes, The (1997)","Wicker Man, The (1973)",Project X (1968),Notorious (1946),Sleepless in Seattle (1993),eXistenZ (1999),"Mask, The (1994)",Thoroughly Modern Millie (1967),"Sand Pebbles, The (1966)",Attack of the Killer Tomatoes! (1978),Battle Planet (2008),Dear Frankie (2004),Treasure Island (2012)
"Celluloid Closet, The (1995)",The Great Train Robbery (1903),,Key Largo (1948),"Pom Poko (a.k.a. Raccoon War, The) (Heisei tanuki gassen pompoko) (1994)",Tomorrowland (2015),Happy Feet (2006),Loaded Weapon 1 (National Lampoon's Loaded Weapon 1) (1993),Stay (2005),American Psycho (2000),Dark Passage (1947),Ghost in the Shell (2017),"War of the Worlds, The (1953)",The Golden Voyage of Sinbad (1973),Cats Don't Dance (1997),For Whom the Bell Tolls (1943),Ring of Terror (1962),Sharknado 3: Oh Hell No! (2015),Indochine (1992),Babe: Pig in the City (1998)
